,application_number,orig_funding_request,cmtd_funding_request,consulting_firms_name,consulting_firms_email,applicant_type,applicant_city,applicant_state,cmtd_discount,service_type,function,funding_gap
3247,170065450,4602,4602,Csm Consulting Inc.,kfriends@csmcentral.com,School District,WHITTIER,CA,60,Internal Connections,Switches,0
3248,170066253,17007,0,Csm Consulting Inc.,kfriends@csmcentral.com,School District,SAN JUAN CAPO,CA,50,Internet Access And/Or Telecommunications,Internet Access And Transport Bundled,17007
3249,170081400,4833,4833,Funds For Learning,jharrington@fundsforlearning.com,Consortium,REDWOOD CITY,CA,84,Internal Connections,Cabling,0
3250,170064063,145649,145649,"Nvls Professional Services, Llc",nancyvls@nvls-erate.com,School District,SAN DIEGO,CA,80,Basic Maintenance Of Internal Connections,Firewall Service And Components,0
3251,170065593,1840,1840,Funds For Learning,jharrington@fundsforlearning.com,School District,OAKLAND,CA,85,Internal Connections,Ups/Battery Backup,0
3252,170074621,75832,75832,Csm Consulting Inc.,kfriends@csmcentral.com,School District,SAN FRANCISCO,CA,80,Basic Maintenance Of Internal Connections,"Antennas, Connectors, And Related Components",0
3253,170069277,67856,65764,The Miller Institute For Learning With Technology (Dba Learningtech.Org),emiller@learningtech.org,School District,PACOIMA,CA,90,Internal Connections,Switches,2092
3254,170064914,22929,22929,Csm Consulting Inc.,kfriends@csmcentral.com,School District,STOCKTON,CA,85,Internal Connections,"Antennas, Connectors, And Related Components",0
3255,170061576,656,656,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ELK GROVE,CA,80,Internal Connections,Wap,0
3256,170061576,729,729,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ELK GROVE,CA,80,Basic Maintenance Of Internal Connections,"Antennas, Connectors, And Related Components",0
3257,170054276,390,390,Funds For Learning,jharrington@fundsforlearning.com,School,MONTEREY PARK,CA,50,Internet Access And/Or Telecommunications,Internet Access: Isp Service Only,0
3258,170064914,42341,42341,Csm Consulting Inc.,kfriends@csmcentral.com,School District,STOCKTON,CA,85,Internal Connections,"Antennas, Connectors, And Related Components",0
3259,170064063,10146,10146,"Nvls Professional Services, Llc",nancyvls@nvls-erate.com,School District,SAN DIEGO,CA,80,Internal Connections,Caching,0
3260,170061576,656,656,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ELK GROVE,CA,80,Basic Maintenance Of Internal Connections,Cabling,0
3261,170051844,3946,3946,Csm Consulting Inc.,kfriends@csmcentral.com,School District,COSTA MESA,CA,60,Internal Connections,Wap,0
3262,170049563,1768,1768,Csm Consulting Inc.,kfriends@csmcentral.com,School District,GUADALUPE,CA,30,Managed Internal Broadband Services,Existing Equipment,0
3263,170051028,164350,0,Csm Consulting Inc.,kfriends@csmcentral.com,Consortium,LA MIRADA,CA,95,Internet Access And/Or Telecommunications,Transport Only - No Isp Service Included,164350
3264,170059275,2358,2359,Merced County Office Of Education,erate@mcoe.org,School District,MERCED,CA,30,Internet Access And/Or Telecommunications,Transport Only - No Isp Service Included,-1
3265,170081465,102933,102933,"Sutherland Consulting Group, Inc. Dba Edtechnologyfunds, Inc.",bsutherland@edtechnologyfunds.com,Library System,LONG BEACH,CA,80,Internal Connections,Firewall Service And Components,0
3266,170049302,12372,12270,E-Rate Online Llc,msagnella@erateportal.com,School District,PESCADERO,CA,80,Internal Connections,"Antennas, Connectors, And Related Components",102
3267,170066991,7916,7916,Csm Consulting Inc.,kfriends@csmcentral.com,School District,LAKE ELSINORE,CA,80,Internal Connections,Wap,0
3268,170061576,13750,13750,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ELK GROVE,CA,80,Basic Maintenance Of Internal Connections,"Antennas, Connectors, And Related Components",0
3269,170052240,63555,58607,Csm Consulting Inc.,kfriends@csmcentral.com,School District,LAWNDALE,CA,85,Internal Connections,Racks,4948
3270,170051664,153,153,Csm Consulting Inc.,kfriends@csmcentral.com,School District,BIEBER,CA,80,Internal Connections,Ups/Battery Backup,0
3271,170049409,21600,0,Merced County Office Of Education,erate@mcoe.org,School District,GUSTINE,CA,90,Internet Access And/Or Telecommunications,Other,21600
3272,170064914,15641,15641,Csm Consulting Inc.,kfriends@csmcentral.com,School District,STOCKTON,CA,85,Basic Maintenance Of Internal Connections,Switches,0
3273,170064914,22929,22929,Csm Consulting Inc.,kfriends@csmcentral.com,School District,STOCKTON,CA,85,Basic Maintenance Of Internal Connections,Ups/Battery Backup,0
3274,170064796,53745,53745,Csm Consulting Inc.,kfriends@csmcentral.com,School District,MONROVIA,CA,80,Basic Maintenance Of Internal Connections,Switches,0
3275,170065593,1264,1264,Funds For Learning,jharrington@fundsforlearning.com,School District,OAKLAND,CA,85,Basic Maintenance Of Internal Connections,Firewall Service And Components,0
3276,170061576,28876,28876,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ELK GROVE,CA,80,Internal Connections,Wap,0
3277,170066253,17007,0,Csm Consulting Inc.,kfriends@csmcentral.com,School District,SAN JUAN CAPO,CA,50,Internet Access And/Or Telecommunications,Internet Access: Isp Service Only,17007
3278,170061576,28876,28876,Csm Consulting Inc.,kfriends@csmcentral.com,School District,ELK GROVE,CA,80,Basic Maintenance Of Internal Connections,Wap,0
3279,170064063,2081,0,"Nvls Professional Services, Llc",nancyvls@nvls-erate.com,School District,SAN DIEGO,CA,80,Basic Maintenance Of Internal Connections,Firewall Service And Components,2081
3280,170066253,71420,0,Csm Consulting Inc.,kfriends@csmcentral.com,School District,SAN JUAN CAPO,CA,50,Internal Connections,Switches,71420
3281,170054974,4794,4794,Csm Consulting Inc.,kfriends@csmcentral.com,School District,POMONA,CA,85,Managed Internal Broadband Services,Existing Equipment,0
3282,170065592,4906,4906,Btu Consultants,carol@btu-consultants.com,School District,JOHNSBURG,IL,50,Internal Connections,Wap,0
3283,170054925,14264,14264,Funds For Learning,jharrington@fundsforlearning.com,School District,CHICAGO,IL,30,Basic Maintenance Of Internal Connections,"Antennas, Connectors, And Related Components",0
3284,170054925,58401,58401,Funds For Learning,jharrington@fundsforlearning.com,School District,CHICAGO,IL,30,Basic Maintenance Of Internal Connections,Switches,0
3285,170050808,1219,1219,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Basic Maintenance Of Internal Connections,Racks,0
3286,170050808,1423,1423,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Basic Maintenance Of Internal Connections,Caching,0
3287,170066140,18594,19182,Btu Consultants,carol@btu-consultants.com,School,SPRINGFIELD,IL,20,Basic Maintenance Of Internal Connections,Switches,-588
3288,170075722,6723,6723,"Erateprogram, Llc",rsenturia@erateprogram.com,Consortium,Bensonville,IL,62,Internet Access And/Or Telecommunications,Internet Access And Transport Bundled,0
3289,170082440,81769,58214,"Scaletta Consulting, Llc",lpscaletta@gmail.com,School District,CRETE,IL,80,Internal Connections,Ups/Battery Backup,23555
3290,170060568,1650,1650,"E2e Exchange, Llc",sdp@erateexchange.com,School District,BUFFALO,IL,60,Basic Maintenance Of Internal Connections,Caching,0
3291,170079333,9760,8231,Telesolutions Consultants Llc,jerry@telesolutionsconsultants.com,School District,BEACH PARK,IL,85,Basic Maintenance Of Internal Connections,Wireless Controller,1529
3292,170050808,1124,1124,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Basic Maintenance Of Internal Connections,Firewall Service And Components,0
3293,170050808,786,786,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Internal Connections,Racks,0
3294,170050808,1182,1182,Resource Renewal Project,baltman@colemangroupconsulitng.com,School,Springfield,IL,85,Internal Connections,Caching,0
3295,170076581,27701,27701,Telesolutions Consultants Llc,jerry@telesolutionsconsultants.com,School District,ROMEOVILLE,IL,80,Basic Maintenance Of Internal Connections,Switches,0
3296,170067857,4970,4970,Telesolutions Consultants Llc,jerry@telesolutionsconsultants.com,School District,EAST PEORIA,IL,60,Internal Connections,Switches,0
3297,170058756,2419,2419,E-Rate Online Llc,msagnella@erateportal.com,School District,OREGON,IL,80,Internet Access And/Or Telecommunications,Internet Access And Transport Bundled,0
3298,170056706,84001,0,Ajd Consulting Services,4jdare@gmail.com,School District,KINMUNDY,IL,85,Internet Access And/Or Telecommunications,Lit Fiber Service,84001
3299,170065638,83766,31926,"E-Rate Funding Services, Llc",dave.erfs@att.net,School District,La Grange,IL,60,Internal Connections,Wap,51840
3300,170054925,58401,58401,Funds For Learning,jharrington@fundsforlearning.com,School District,CHICAGO,IL,30,Internet Access And/Or Telecommunications,Cellular Voice,0
3301,170048852,86,86,"E2e Exchange, Llc",sdp@erateexchange.com,School District,BARTONVILLE,IL,10,Internet Access And/Or Telecommunications,Transport Only - No Isp Service Included,0
3302,170054925,125400,17599,Funds For Learning,jharrington@fundsforlearning.com,School District,CHICAGO,IL,85,Internet Access And/Or Telecommunications,"Voice Service (Analog, Digital, Interconnected Voip, Etc)",107801
3303,170052311,2890,2890,Telesolutions Consultants Llc,jerry@telesolutionsconsultants.com,School District,ARLINGTON HTS,IL,20,Internet Access And/Or Telecommunications,Transport Only - No Isp Service Included,0
3304,170050808,1182,1182,Resource Renewal Project,baltman@colemangroupconsulitng.com,School,Springfield,IL,85,Internal Connections,Caching,0
3305,170050808,2209,2209,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Internal Connections,Switches,0
3306,170050808,3622,3622,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Internal Connections,"Antennas, Connectors, And Related Components",0
3307,170050808,9799,9799,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Basic Maintenance Of Internal Connections,Caching,0
3308,170082440,265789,2897,"Scaletta Consulting, Llc",lpscaletta@gmail.com,School District,CRETE,IL,80,Internal Connections,Wap,262892
3309,170063514,1519,1519,Telesolutions Consultants Llc,jerry@telesolutionsconsultants.com,School District,BURR RIDGE,IL,30,Internet Access And/Or Telecommunications,"Voice Service (Analog, Digital, Interconnected Voip, Etc)",0
3310,170050808,3515,3515,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Internal Connections,Router,0
3311,170050808,6687,0,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Basic Maintenance Of Internal Connections,Ups/Battery Backup,6687
3312,170054925,14264,14264,Funds For Learning,jharrington@fundsforlearning.com,School District,CHICAGO,IL,30,Internet Access And/Or Telecommunications,Cellular Voice,0
3313,170050808,4915,4915,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Internal Connections,"Antennas, Connectors, And Related Components",0
3314,170054925,125400,17599,Funds For Learning,jharrington@fundsforlearning.com,School District,CHICAGO,IL,85,Internal Connections,Switches,107801
3315,170064428,983,983,E-Rate Funding Solutions Llc,esf1@att.net,School,ALTON,IL,40,Internet Access And/Or Telecommunications,Internet Access And Transport Bundled,0
3316,170062257,1690,1690,Telesolutions Consultants Llc,jerry@telesolutionsconsultants.com,School District,DOWNERS GROVE,IL,50,Internal Connections,Firewall Service And Components,0
3317,170050808,3285,3285,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Basic Maintenance Of Internal Connections,Ups/Battery Backup,0
3318,170050808,1728,1694,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Basic Maintenance Of Internal Connections,Wireless Controller,34
3319,170065592,20143,19338,Btu Consultants,carol@btu-consultants.com,School District,JOHNSBURG,IL,50,Internal Connections,Ups/Battery Backup,805
3320,170069871,2420,2420,"Zeller And Associates, Llc",gzeller@zellerandassociates.com,School District,CREST HILL,IL,30,Internet Access And/Or Telecommunications,Cellular Voice,0
3321,170058036,1799,1799,Resource Renewal Project,baltman@colemangroupconsulitng.com,School,JACKSONVILLE,IL,50,Internet Access And/Or Telecommunications,Internet Access And Transport Bundled,0
3322,170050808,2142,0,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Basic Maintenance Of Internal Connections,Router,2142
3323,170063399,3486,3486,Telesolutions Consultants Llc,jerry@telesolutionsconsultants.com,School District,OTTAWA,IL,70,Internal Connections,Cabling,0
3324,170068558,9389,0,"E2e Exchange, Llc",sdp@erateexchange.com,School District,PALOS HILLS,IL,80,Basic Maintenance Of Internal Connections,Caching,9389
3325,170067860,10470,6006,Telesolutions Consultants Llc,jerry@telesolutionsconsultants.com,School District,EVANSTON,IL,60,Internal Connections,Wap,4464
3326,170065638,38623,9850,"E-Rate Funding Services, Llc",dave.erfs@att.net,School District,La Grange,IL,60,Managed Internal Broadband Services,Existing Equipment,28773
3327,170050808,4277,0,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Basic Maintenance Of Internal Connections,Firewall Service And Components,4277
3328,170065592,20143,19338,Btu Consultants,carol@btu-consultants.com,School District,JOHNSBURG,IL,50,Internal Connections,Firewall Service And Components,805
3329,170049310,5104,3190,Clientfirst Technology Consulting,mstruwing@clientfirstcg.com,School District,MOUNT PROSPECT,IL,40,Internet Access And/Or Telecommunications,Internet Access And Transport Bundled,1914
3330,170050286,88187,88187,E-Rate Funding Solutions Llc,esf1@att.net,School District,MT. CARROLL,IL,85,Internet Access And/Or Telecommunications,Cellular Voice,0
3331,170050808,960,960,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Basic Maintenance Of Internal Connections,Wap,0
3332,170050808,3473,3473,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Internal Connections,Racks,0
3333,170050808,4380,4380,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Internal Connections,Cabling,0
3334,170050808,5031,5031,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Basic Maintenance Of Internal Connections,Cabling,0
3335,170073562,105751,75158,Btu Consultants,carol@btu-consultants.com,School District,URBANA,IL,85,Internal Connections,Cabling,30593
3336,170050808,1828,1828,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Internal Connections,Cabling,0
3337,170054925,125400,17599,Funds For Learning,jharrington@fundsforlearning.com,School District,CHICAGO,IL,85,Internet Access And/Or Telecommunications,Cellular Voice,107801
3338,170050808,417,417,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Basic Maintenance Of Internal Connections,Firewall Service And Components,0
3339,170050612,2300,2231,Telesolutions Consultants Llc,jerry@telesolutionsconsultants.com,School District,ELMHURST,IL,40,Basic Maintenance Of Internal Connections,Ups/Battery Backup,69
3340,170050808,2393,0,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Basic Maintenance Of Internal Connections,Firewall Service And Components,2393
3341,170056850,4322,2161,Telesolutions Consultants Llc,jerry@telesolutionsconsultants.com,School District,GRAYSLAKE,IL,40,Basic Maintenance Of Internal Connections,Wap,2161
3342,170048708,1440,1440,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Internet Access And/Or Telecommunications,Internet Access: Isp Service Only,0
3343,170054925,14264,14264,Funds For Learning,jharrington@fundsforlearning.com,School District,CHICAGO,IL,30,Basic Maintenance Of Internal Connections,Cabling,0
3344,170050808,2990,2990,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Basic Maintenance Of Internal Connections,"Antennas, Connectors, And Related Components",0
3345,170054925,14264,14264,Funds For Learning,jharrington@fundsforlearning.com,School District,CHICAGO,IL,30,Internal Connections,Switches,0
3346,170055440,17729,17729,"Infinite Connections, Inc.",jkratochvil@infiniteconnect.net,School District,CHICAGO HTS,IL,90,Internet Access And/Or Telecommunications,Cellular Voice,0
3347,170054925,125400,17599,Funds For Learning,jharrington@fundsforlearning.com,School District,CHICAGO,IL,85,Internet Access And/Or Telecommunications,Cellular Voice,107801
3348,170050808,1182,1182,Resource Renewal Project,baltman@colemangroupconsulitng.com,School,Springfield,IL,85,Internal Connections,Switches,0
3349,170050808,2331,1596,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Basic Maintenance Of Internal Connections,Firewall Service And Components,735
3350,170050808,1703,1703,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Basic Maintenance Of Internal Connections,Racks,0
3351,170082440,21817,0,"Scaletta Consulting, Llc",lpscaletta@gmail.com,School District,CRETE,IL,80,Internal Connections,"Antennas, Connectors, And Related Components",21817
3352,170050808,4100,3305,Resource Renewal Project,baltman@colemangroupconsulitng.com,School,WILMETTE,IL,20,Basic Maintenance Of Internal Connections,Wireless Controller,795
3353,170050808,5023,0,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Internal Connections,Caching,5023
3354,170050808,2424,2424,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Internal Connections,Wap,0
3355,170082440,10448,0,"Scaletta Consulting, Llc",lpscaletta@gmail.com,School District,CRETE,IL,80,Internal Connections,Switches,10448
3356,170058063,14580,0,E Rate Solutions Group Inc,kweiss@erategroup.com,School,ASSUMPTION,IL,90,Internet Access And/Or Telecommunications,Cellular Voice,14580
3357,170082440,81769,58214,"Scaletta Consulting, Llc",lpscaletta@gmail.com,School District,CRETE,IL,80,Internal Connections,Wap,23555
3358,170066714,8660,8660,E-Rate Online Llc,msagnella@erateportal.com,School District,DIXON,IL,70,Internal Connections,Switches,0
3359,170050808,2950,0,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Basic Maintenance Of Internal Connections,Cabling,2950
3360,170069211,123600,3600,Telesolutions Consultants Llc,jerry@telesolutionsconsultants.com,School District,EAST PEORIA,IL,60,Internet Access And/Or Telecommunications,Other,120000
3361,170049590,973,973,E-Rate Central,whimsworth@e-ratecentral.com,Library System,AURORA,IL,80,Internet Access And/Or Telecommunications,Cellular Voice,0
3362,170081990,2469,2469,Educational Consortium For Telecom Savings,dbelden@eratespecialist.org,School District,RIVER FOREST,IL,40,Internal Connections,Wap,0
3363,170047314,50292,50292,"E2e Exchange, Llc",sdp@erateexchange.com,School District,MIDLOTHIAN,IL,60,Internet Access And/Or Telecommunications,Internet Access And Transport Bundled,0
3364,170050808,150,150,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Basic Maintenance Of Internal Connections,Caching,0
3365,170050808,6687,6687,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Basic Maintenance Of Internal Connections,Ups/Battery Backup,0
3366,170051987,119,119,E-Rate Funding Solutions Llc,esf1@att.net,Library System,EDWARDSVILLE,IL,50,Internet Access And/Or Telecommunications,Transport Only - No Isp Service Included,0
3367,170050808,4780,4780,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Internal Connections,Switches,0
3368,170062257,19,19,Telesolutions Consultants Llc,jerry@telesolutionsconsultants.com,School District,DOWNERS GROVE,IL,50,Internal Connections,Wap,0
3369,170067860,10470,6006,Telesolutions Consultants Llc,jerry@telesolutionsconsultants.com,School District,EVANSTON,IL,60,Internal Connections,Switches,4464
3370,170050808,1786,1786,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Basic Maintenance Of Internal Connections,Racks,0
3371,170050808,4277,0,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Internal Connections,Ups/Battery Backup,4277
3372,170050808,150,150,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Internal Connections,Wireless Controller,0
3373,170076535,1987,1672,Telesolutions Consultants Llc,jerry@telesolutionsconsultants.com,School District,ROMEOVILLE,IL,80,Basic Maintenance Of Internal Connections,Ups/Battery Backup,315
3374,170067860,10470,10470,Telesolutions Consultants Llc,jerry@telesolutionsconsultants.com,School District,EVANSTON,IL,60,Internal Connections,Switches,0
3375,170053590,15558,15555,"Infinite Connections, Inc.",jkratochvil@infiniteconnect.net,School District,CICERO,IL,30,Internet Access And/Or Telecommunications,Lit Fiber Service,3
3376,170047887,13282,13282,"E2e Exchange, Llc",sdp@erateexchange.com,Library,BERWYN,IL,90,Basic Maintenance Of Internal Connections,Racks,0
3377,170050808,4558,4558,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Internal Connections,Racks,0
3378,170065592,74956,11631,Btu Consultants,carol@btu-consultants.com,School District,JOHNSBURG,IL,50,Internal Connections,Wap,63325
3379,170050808,417,417,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Internal Connections,Ups/Battery Backup,0
3380,170048708,1649,1649,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Internet Access And/Or Telecommunications,Internet Access: Isp Service Only,0
3381,170050808,1124,1124,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Internal Connections,Router,0
3382,170050808,2209,2209,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Internal Connections,Ups/Battery Backup,0
3383,170082440,10795,10795,"Scaletta Consulting, Llc",lpscaletta@gmail.com,School District,CRETE,IL,80,Internet Access And/Or Telecommunications,Self-Provisioning,0
3384,170082440,29959,19681,"Scaletta Consulting, Llc",lpscaletta@gmail.com,School District,CRETE,IL,80,Internal Connections,Switches,10278
3385,170062257,24216,24216,Telesolutions Consultants Llc,jerry@telesolutionsconsultants.com,School District,DOWNERS GROVE,IL,50,Basic Maintenance Of Internal Connections,Wireless Controller,0
3386,170050808,4277,0,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Basic Maintenance Of Internal Connections,Caching,4277
3387,170054925,125400,17599,Funds For Learning,jharrington@fundsforlearning.com,School District,CHICAGO,IL,85,Internal Connections,Racks,107801
3388,170050808,4277,0,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Internal Connections,"Antennas, Connectors, And Related Components",4277
3389,170050808,1152,1152,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Basic Maintenance Of Internal Connections,Firewall Service And Components,0
3390,170054925,125400,17599,Funds For Learning,jharrington@fundsforlearning.com,School District,CHICAGO,IL,85,Basic Maintenance Of Internal Connections,Cabling,107801
3391,170050808,6176,6176,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Basic Maintenance Of Internal Connections,Firewall Service And Components,0
3392,170054925,58401,58401,Funds For Learning,jharrington@fundsforlearning.com,School District,CHICAGO,IL,30,Internal Connections,"Antennas, Connectors, And Related Components",0
3393,170050808,2950,2950,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Basic Maintenance Of Internal Connections,Wap,0
3394,170060435,255,255,Telesolutions Consultants Llc,jerry@telesolutionsconsultants.com,School District,PRINCETON,IL,10,Internet Access And/Or Telecommunications,"Voice Service (Analog, Digital, Interconnected Voip, Etc)",0
3395,170050808,2331,2331,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Basic Maintenance Of Internal Connections,Firewall Service And Components,0
3396,170050808,4558,4558,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Basic Maintenance Of Internal Connections,Caching,0
3397,170061289,135998,103453,E-Rate Online Llc,msagnella@erateportal.com,School District,PALATINE,IL,50,Internal Connections,Firewall Service And Components,32545
3398,170062257,5014,5014,Telesolutions Consultants Llc,jerry@telesolutionsconsultants.com,School District,DOWNERS GROVE,IL,50,Basic Maintenance Of Internal Connections,Switches,0
3399,170054925,58401,58401,Funds For Learning,jharrington@fundsforlearning.com,School District,CHICAGO,IL,30,Internal Connections,"Antennas, Connectors, And Related Components",0
3400,170076581,4656,4656,Telesolutions Consultants Llc,jerry@telesolutionsconsultants.com,School District,ROMEOVILLE,IL,80,Basic Maintenance Of Internal Connections,Switches,0
3401,170050808,2242,2242,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Basic Maintenance Of Internal Connections,Router,0
3402,170050808,1200,0,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Basic Maintenance Of Internal Connections,Wap,1200
3403,170050808,6254,6254,Resource Renewal Project,baltman@colemangroupconsulitng.com,School,CHICAGO,IL,50,Internal Connections,Cabling,0
3404,170050808,11327,11327,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Internal Connections,"Antennas, Connectors, And Related Components",0
3405,170050808,21240,21240,Resource Renewal Project,baltman@colemangroupconsulitng.com,Consortium,CHICAGO,IL,40,Basic Maintenance Of Internal Connections,Ups/Battery Backup,0
3406,170047311,3073,3073,"E2e Exchange, Llc",sdp@erateexchange.com,School District,BRADFORD,IL,70,Internet Access And/Or Telecommunications,Cellular Voice,0
3407,170054925,58401,58401,Funds For Learning,jharrington@fundsforlearning.com,School District,CHICAGO,IL,30,Internal Connections,Switches,0
3408,170050808,5023,0,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Basic Maintenance Of Internal Connections,Ups/Battery Backup,5023
3409,170050808,5694,5694,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Basic Maintenance Of Internal Connections,Ups/Battery Backup,0
3410,170054757,22186,22186,"Infinite Connections, Inc.",jkratochvil@infiniteconnect.net,School District,BERKELEY,IL,85,Basic Maintenance Of Internal Connections,Wap,0
3411,170054925,58401,58401,Funds For Learning,jharrington@fundsforlearning.com,School District,CHICAGO,IL,30,Internal Connections,"Antennas, Connectors, And Related Components",0
3412,170050808,6626,6626,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Basic Maintenance Of Internal Connections,Caching,0
3413,170070000,12626,13617,Telesolutions Consultants Llc,jerry@telesolutionsconsultants.com,School District,GLENDALE HTS,IL,20,Internet Access And/Or Telecommunications,"Voice Service (Analog, Digital, Interconnected Voip, Etc)",-991
3414,170072103,26837,24153,Telesolutions Consultants Llc,jerry@telesolutionsconsultants.com,School District,BELVIDERE,IL,80,Basic Maintenance Of Internal Connections,Caching,2684
3415,170047887,628,628,"E2e Exchange, Llc",sdp@erateexchange.com,Library,BERWYN,IL,30,Internet Access And/Or Telecommunications,"Voice Service (Analog, Digital, Interconnected Voip, Etc)",0
3416,170050808,1124,1124,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Basic Maintenance Of Internal Connections,Ups/Battery Backup,0
3417,170050808,2142,0,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Basic Maintenance Of Internal Connections,Switches,2142
3418,170065592,20143,19338,Btu Consultants,carol@btu-consultants.com,School District,JOHNSBURG,IL,50,Internal Connections,Ups/Battery Backup,805
3419,170050808,4780,4780,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Basic Maintenance Of Internal Connections,Wireless Controller,0
3420,170054925,125400,17599,Funds For Learning,jharrington@fundsforlearning.com,School District,CHICAGO,IL,85,Internal Connections,Cabling,107801
3421,170050808,9799,9799,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Internal Connections,Racks,0
3422,170050808,2209,2209,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Basic Maintenance Of Internal Connections,Router,0
3423,170050808,2950,0,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Internal Connections,Racks,2950
3424,170050808,2081,2081,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Basic Maintenance Of Internal Connections,Racks,0
3425,170057544,16356,24936,New Hope Technology Foundation,jhughes@newhopetech.org,School District,CRYSTAL LAKE,IL,50,Internet Access And/Or Telecommunications,Internet Access And Transport Bundled,-8580
